	outbreakid	category	counts	completions	average
743	figshare12272327	Vaccines	2	3	0.6666666666666666
746	figshare12273089	Rapid Diagnostics	3	3	1.0
747	figshare12273089	Virus Detection	2	3	0.6666666666666666
750	figshare12273188	Virus Factors	2	3	0.6666666666666666
755	figshare12278249	Clinical	2	3	0.6666666666666666
756	figshare12278249	Virus Detection	2	3	0.6666666666666666
763	figshare12279575	Classical epidemiology	3	3	1.0
764	figshare12279575	Molecular epidemiology	2	3	0.6666666666666666
766	figshare12283697	Repurposing	2	3	0.6666666666666666
777	figshare12290696	Vaccines	3	3	1.0
779	figshare12292829	Pharmaceutical Treatments	2	3	0.6666666666666666
780	figshare12292829	Repurposing	2	3	0.6666666666666666
787	figshare12298790	Virus Factors	2	3	0.6666666666666666
789	figshare12298844	Behavioral Research	3	3	1.0
799	figshare12300689	Classical epidemiology	2	3	0.6666666666666666
801	figshare12302249	Testing Prevalence	2	3	0.6666666666666666
802	figshare12302249	Virus Detection	2	3	0.6666666666666666
807	figshare12302309	Rapid Diagnostics	2	3	0.6666666666666666
813	figshare12302321	Rapid Diagnostics	2	3	0.6666666666666666
818	figshare12302408	Rapid Diagnostics	2	3	0.6666666666666666
819	figshare12302408	Virus Detection	2	3	0.6666666666666666
824	figshare12309230	Forecasting	2	3	0.6666666666666666
829	figshare12309251	Repurposing	3	3	1.0
830	figshare12309251	Pharmaceutical Treatments	2	3	0.6666666666666666
846	figshare12316175	Treatment	2	3	0.6666666666666666
859	figshare12316340	Host Factors	3	3	1.0
860	figshare12316340	Immunological Response	2	3	0.6666666666666666
861	figshare12316340	Mechanism of Infection	2	3	0.6666666666666666
862	figshare12316340	Virus Factors	2	3	0.6666666666666666
887	figshare12320435	Medical Care	2	3	0.6666666666666666
891	figshare12325199	Symptoms	3	3	1.0
897	figshare12325202	Symptoms	3	3	1.0
905	figshare12327923	Host Factors	2	3	0.6666666666666666
906	figshare12327923	Mechanism of Infection	2	3	0.6666666666666666
911	figshare12332942	Behavioral Research	2	3	0.6666666666666666
912	figshare12332942	Symptoms	2	3	0.6666666666666666
914	figshare12332972	Virus Detection	2	3	0.6666666666666666
921	figshare12333104	Public Health Interventions	2	3	0.6666666666666666
922	figshare12344135	Symptoms	2	3	0.6666666666666666
932	figshare12345491	Forecasting	2	3	0.6666666666666666
939	figshare12355064	Pharmaceutical Treatments	2	3	0.6666666666666666
940	figshare12355064	Treatment	2	3	0.6666666666666666
941	figshare12355064	Vaccines	2	3	0.6666666666666666
946	figshare12355733	Host Factors	2	3	0.6666666666666666
947	figshare12355733	Pathology/Radiology	2	3	0.6666666666666666
948	figshare12355733	Risk Factors	2	3	0.6666666666666666
949	figshare12355733	Symptoms	2	3	0.6666666666666666
957	figshare12356231	Public Health Interventions	2	3	0.6666666666666666
975	figshare12357473	Prevention	2	3	0.6666666666666666
976	figshare12357473	Public Health Interventions	2	3	0.6666666666666666
979	figshare12357476	Forecasting	3	4	0.75
980	figshare12357476	Public Health Interventions	3	4	0.75
994	figshare12361493	Behavioral Research	3	3	1.0
1001	figshare12362162	Diagnosis	2	3	0.6666666666666666
1002	figshare12362162	Host Factors	2	3	0.6666666666666666
1003	figshare12362162	Risk Factors	2	3	0.6666666666666666
1004	figshare12362162	Virus Detection	2	3	0.6666666666666666
1023	figshare12365492	Pharmaceutical Treatments	2	3	0.6666666666666666
1024	figshare12365492	Treatment	2	3	0.6666666666666666
1026	figshare12365495	Clinical	3	3	1.0
1027	figshare12365495	Symptoms	2	3	0.6666666666666666
1033	figshare12365498	Clinical	2	3	0.6666666666666666
1034	figshare12365498	Symptoms	2	3	0.6666666666666666
1035	figshare12365498	Treatment	2	3	0.6666666666666666
1042	figshare12365501	Clinical	3	3	1.0
1043	figshare12365501	Treatment	3	3	1.0
1044	figshare12365501	Symptoms	2	3	0.6666666666666666
1049	figshare12366248	Virus Factors	3	3	1.0
1056	figshare12366266	Biologics	2	3	0.6666666666666666
1057	figshare12366266	Virus Factors	2	3	0.6666666666666666
1062	figshare12366269	Classical epidemiology	2	3	0.6666666666666666
1069	figshare12366272	Virus Factors	2	3	0.6666666666666666
1073	figshare12366275	Virus Factors	3	3	1.0
1077	figshare12366329	Repurposing	3	3	1.0
1081	figshare12366449	Virus Factors	3	3	1.0
1094	figshare12369743	Clinical	2	3	0.6666666666666666
1095	figshare12369743	Diagnosis	2	3	0.6666666666666666
1104	figshare12369746	Clinical	3	4	0.75
1111	figshare12369749	Clinical	4	4	1.0
1120	figshare12369752	Clinical	3	3	1.0
1129	figshare12376121	Individual Prevention	2	3	0.6666666666666666
1130	figshare12376121	Mechanism of Transmission	2	3	0.6666666666666666
1131	figshare12376121	Prevention	2	3	0.6666666666666666
1137	figshare12376172	Treatment	3	3	1.0
1138	figshare12376172	Pharmaceutical Treatments	2	3	0.6666666666666666
1139	figshare12376172	Virus Detection	2	3	0.6666666666666666
1144	figshare12376178	Treatment	3	3	1.0
1145	figshare12376178	Medical Care	2	3	0.6666666666666666
1149	figshare12376181	Treatment	3	3	1.0
1150	figshare12376181	Biologics	2	3	0.6666666666666666
1156	figshare12376184	Biologics	2	3	0.6666666666666666
1157	figshare12376184	Treatment	2	3	0.6666666666666666
1163	figshare12376232	Behavioral Research	2	3	0.6666666666666666
1164	figshare12376232	Risk Factors	2	3	0.6666666666666666
1184	figshare12382553	Classical epidemiology	2	3	0.6666666666666666
1185	figshare12382553	Public Health Interventions	2	3	0.6666666666666666
1193	figshare12382706	Clinical	3	3	1.0
1194	figshare12382706	Public Health Interventions	2	3	0.6666666666666666
1199	figshare12388010	Symptoms	2	3	0.6666666666666666
1205	figshare12388868	Symptoms	3	3	1.0
1209	figshare12388871	Symptoms	3	3	1.0
1216	figshare12389138	Treatment	2	3	0.6666666666666666
1219	figshare12389309	Classical epidemiology	2	3	0.6666666666666666
1220	figshare12389309	Forecasting	2	3	0.6666666666666666
1221	figshare12389309	Transmission	2	3	0.6666666666666666
1226	figshare12389312	Forecasting	2	3	0.6666666666666666
1236	figshare12399236	Behavioral Research	2	3	0.6666666666666666
1239	figshare12407360	Epidemiology	2	3	0.6666666666666666
1240	figshare12407360	Forecasting	2	3	0.6666666666666666
1241	figshare12407360	Virus Detection	2	3	0.6666666666666666
1264	figshare12424661	Public Health Interventions	2	3	0.6666666666666666
1278	figshare12433406	Epidemiology	3	4	0.75
1288	figshare12436205	Virus Factors	2	3	0.6666666666666666
1298	figshare12442379	Public Health Interventions	2	3	0.6666666666666666
1308	figshare12444224	Classical epidemiology	2	3	0.6666666666666666
1309	figshare12444224	Epidemiology	2	3	0.6666666666666666
1310	figshare12444224	Transmission	2	3	0.6666666666666666
1314	figshare12445691	Host Factors	2	3	0.6666666666666666
1315	figshare12445691	Immunological Response	2	3	0.6666666666666666
1316	figshare12445691	Risk Factors	2	3	0.6666666666666666
1322	figshare12445694	Host Factors	2	3	0.6666666666666666
1323	figshare12445694	Virus Factors	2	3	0.6666666666666666
1331	figshare12445697	Host Factors	3	4	0.75
1340	figshare12445700	Host Factors	2	3	0.6666666666666666
1341	figshare12445700	Immunological Response	2	3	0.6666666666666666
1342	figshare12445700	Mechanism of Infection	2	3	0.6666666666666666
1343	figshare12445700	Treatment	2	3	0.6666666666666666
1348	figshare12449603	Behavioral Research	3	4	0.75
